"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-04-17","@","LAC","L",95,115,33,83,0.398,10,30,0.333,19,26,0.731,10,40,23,6,2,12,28,13.7875,1996.31108028154,42,78,0.538,6,17,0.353,25,39,0.641,11,48,23,7,7,9,23,NA,2148.98676821696
"2",2,"2016-04-20","@","LAC","L",81,102,31,91,0.341,5,26,0.192,14,16,0.875,15,52,20,6,3,10,20,12.4777777777778,2013.28653269751,40,87,0.46,8,21,0.381,14,25,0.56,12,52,20,7,9,9,18,NA,2170.35460411354
"3",3,"2016-04-23","","LAC","W",96,88,37,87,0.425,6,25,0.24,16,23,0.696,16,56,15,5,3,16,24,13.7875,2007.02506255001,36,88,0.409,3,18,0.167,13,23,0.565,11,44,15,11,4,10,17,NA,2169.07696193893
"4",4,"2016-04-25","","LAC","W",98,84,36,88,0.409,13,31,0.419,13,15,0.867,16,58,27,5,7,15,25,13.7875,2000.04238811954,30,84,0.357,7,25,0.28,17,28,0.607,10,42,16,10,4,9,17,NA,2167.2495400929
"5",5,"2016-04-27","@","LAC","W",108,98,37,83,0.446,12,34,0.353,22,34,0.647,9,53,22,8,4,9,23,13.7875,2023.7132613204,36,86,0.419,6,20,0.3,20,30,0.667,8,45,20,8,3,10,24,9.4,2165.98148508642
"6",6,"2016-04-29","","LAC","W",106,103,38,86,0.442,14,32,0.438,16,24,0.667,18,46,21,4,2,12,23,13.7875,2038.89233243838,39,87,0.448,4,16,0.25,21,31,0.677,16,46,15,8,1,8,24,NA,2165.16834550612
"7",7,"2016-05-01","@","GSW","L",106,118,39,97,0.402,10,31,0.323,18,21,0.857,10,40,26,7,6,9,19,13.7875,2038.89233243838,43,91,0.473,11,31,0.355,21,24,0.875,16,55,27,8,8,12,22,13.2142857142857,2870.54604519062
"8",8,"2016-05-03","@","GSW","L",99,110,36,81,0.444,13,30,0.433,14,21,0.667,6,39,22,5,5,17,25,13.7875,2024.6232489862,42,91,0.462,8,24,0.333,18,20,0.9,10,48,21,4,9,10,23,11.2333333333333,2880.91500405818
"9",9,"2016-05-07","","GSW","W",120,108,40,86,0.465,17,30,0.567,23,29,0.793,11,41,19,5,4,10,19,14.3285714285714,1982.87094879773,42,88,0.477,14,29,0.483,10,17,0.588,11,42,29,4,6,12,20,11.0666666666667,2880.99669650788
"10",10,"2016-05-09","","GSW","L",125,132,43,106,0.406,15,39,0.385,24,33,0.727,18,52,22,8,3,18,29,13.7875,1977.34149130407,44,95,0.463,17,40,0.425,27,33,0.818,10,49,22,13,10,14,27,15.5857142857143,2889.16257817576
"11",11,"2016-05-11","@","GSW","L",121,125,38,92,0.413,16,36,0.444,29,39,0.744,13,47,20,9,4,10,23,13.7875,1977.34149130407,43,84,0.512,14,32,0.438,25,29,0.862,9,44,28,5,4,16,25,13.4875,2895.03619527356
